date,open,high,low,close,volume
2020-09-02,5.364,5.393,3.718,4.333,21498810.600000057
2020-09-03,4.334,4.371,2.693,2.92,21812663.499999937
2020-09-04,2.92,3.2960000000000003,2.698,2.86,13606862.699999953
2020-09-05,2.8569999999999998,3.069,1.57,1.903,18899935.39999992
2020-09-06,1.902,2.3369999999999997,1.521,2.164,19087848.899999943
2020-09-07,2.162,2.295,1.7069999999999999,2.097,12779912.89999993
2020-09-08,2.092,2.103,1.7590000000000001,1.839,9607979.29999995
2020-09-09,1.8359999999999999,2.145,1.767,1.9709999999999999,13293117.09999996
2020-09-10,1.972,2.199,1.9480000000000002,1.964,15678117.399999954
2020-09-11,1.963,2.011,1.71,1.903,13454452.699999897
2020-09-12,1.903,2.1519999999999997,1.811,2.106,21655110.09999982
2020-09-13,2.1069999999999998,2.145,1.7519999999999998,1.911,17461161.79999995
2020-09-14,1.913,1.983,1.785,1.8519999999999999,14032993.999999942
2020-09-15,1.851,1.893,1.339,1.416,19199174.599999927
2020-09-16,1.4169999999999998,1.464,1.2009999999999998,1.2830000000000001,28284513.99999995
2020-09-17,1.2830000000000001,1.4340000000000002,1.195,1.335,24278451.599999923
2020-09-18,1.334,1.435,1.22,1.261,22131445.199999906
2020-09-19,1.261,1.64,1.232,1.483,31473236.89999988
2020-09-20,1.484,1.626,1.3,1.3630000000000002,36288741.299999885
2020-09-21,1.364,1.4040000000000001,1.067,1.093,36084799.59999988
2020-09-22,1.093,1.1520000000000001,1.01,1.078,30518427.89999984
2020-09-23,1.078,1.1340000000000001,0.853,0.89,36417852.09999994
2020-09-24,0.888,0.9990000000000001,0.872,0.9890000000000001,25168534.800000153
2020-09-25,0.988,1.044,0.879,0.973,35546809.100000165
2020-09-26,0.975,1.141,0.968,1.112,36061260.29999998
2020-09-27,1.113,1.1340000000000001,0.978,1.038,24050507.799999915
2020-09-28,1.038,1.099,0.99,1.003,24826950.09999996
2020-09-29,1.002,1.021,0.9009999999999999,0.951,17598848.099999893
2020-09-30,0.951,0.966,0.909,0.9470000000000001,12206655.89999993
2020-10-01,0.9490000000000001,0.9840000000000001,0.815,0.865,26185603.799999874
2020-10-02,0.8640000000000001,0.879,0.722,0.762,31074556.59999989
2020-10-03,0.762,0.81,0.741,0.765,16824332.699999887
2020-10-04,0.764,0.768,0.6709999999999999,0.696,21756662.499999963
2020-10-05,0.696,0.72,0.616,0.63,27714600.69999997
2020-10-06,0.629,0.632,0.478,0.502,68548894.50000007
2020-10-07,0.504,0.525,0.447,0.522,71360124.59999995
2020-10-08,0.523,0.578,0.45399999999999996,0.5579999999999999,65836784.20000006
2020-10-09,0.557,0.639,0.516,0.621,50073256.69999997
2020-10-10,0.621,0.6459999999999999,0.5429999999999999,0.557,41178379.300000094
2020-10-11,0.5579999999999999,0.581,0.523,0.5589999999999999,31303520.999999963
2020-10-12,0.5579999999999999,0.598,0.535,0.568,28987878.4
2020-10-13,0.568,0.5720000000000001,0.529,0.547,19371066.999999937
2020-10-14,0.547,0.5539999999999999,0.475,0.504,35208611.00000002
2020-10-15,0.504,0.508,0.47700000000000004,0.498,23828878.49999989
2020-10-16,0.498,0.512,0.42100000000000004,0.429,36854408.79999994
2020-10-17,0.429,0.449,0.41600000000000004,0.436,24238083.899999883
2020-10-18,0.435,0.473,0.433,0.457,22264145.399999876
2020-10-19,0.456,0.45899999999999996,0.405,0.413,29303975.699999772
2020-10-20,0.413,0.41700000000000004,0.353,0.359,52057269.39999976
2020-10-21,0.358,0.40299999999999997,0.355,0.382,45614975.09999969
2020-10-22,0.382,0.429,0.38,0.40700000000000003,43658817.799999736
2020-10-23,0.408,0.413,0.368,0.379,33732183.09999976
2020-10-24,0.37799999999999995,0.382,0.355,0.37200000000000005,37864149.59999974
2020-10-25,0.37200000000000005,0.382,0.326,0.336,50486185.39999965
2020-10-26,0.336,0.44,0.331,0.405,137126491.99999964
2020-10-27,0.405,0.632,0.386,0.624,256187902.69999927
2020-10-28,0.622,0.635,0.45,0.489,223257312.39999777
2020-10-29,0.489,0.52,0.426,0.44299999999999995,141326928.89999765
2020-10-30,0.44299999999999995,0.462,0.374,0.39299999999999996,142347952.6999988
2020-10-31,0.39299999999999996,0.445,0.389,0.41600000000000004,76156832.49999873
2020-11-01,0.415,0.42100000000000004,0.386,0.401,41965555.29999877
2020-11-02,0.401,0.423,0.354,0.359,63196974.09999891
2020-11-03,0.359,0.36700000000000005,0.34,0.35600000000000004,55876301.19999887
2020-11-04,0.355,0.37200000000000005,0.32899999999999996,0.342,62183172.59999892
2020-11-05,0.342,0.38299999999999995,0.33,0.361,82496445.29999883
2020-11-06,0.361,0.44799999999999995,0.35600000000000004,0.436,116199971.19999872
2020-11-07,0.435,0.545,0.391,0.428,218395970.39999914
2020-11-08,0.42700000000000005,0.491,0.415,0.47100000000000003,84653842.09999914
2020-11-09,0.47200000000000003,0.49700000000000005,0.428,0.45399999999999996,98127259.79999909
2020-11-10,0.45399999999999996,0.597,0.441,0.564,124258466.39999904
2020-11-11,0.563,0.642,0.527,0.5429999999999999,172417303.59999844
2020-11-12,0.542,0.586,0.508,0.562,108712188.99999854
2020-11-13,0.561,0.698,0.5479999999999999,0.68,138853895.29999828
2020-11-14,0.68,0.745,0.594,0.71,159596034.39999798
2020-11-15,0.71,0.835,0.7020000000000001,0.7809999999999999,190353030.99999833
2020-11-16,0.78,0.8420000000000001,0.693,0.821,135413582.39999813
2020-11-17,0.821,0.904,0.8009999999999999,0.875,129583762.09999827
2020-11-18,0.8740000000000001,0.887,0.69,0.755,162942947.8999987
2020-11-19,0.755,0.846,0.71,0.8029999999999999,138452177.1999984
2020-11-20,0.8029999999999999,0.968,0.7909999999999999,0.856,173823971.99999845
2020-11-21,0.856,0.902,0.7879999999999999,0.857,115010963.59999868
2020-11-22,0.858,0.878,0.6859999999999999,0.747,143644689.099999
2020-11-23,0.747,0.81,0.715,0.745,83713111.99999891
2020-11-24,0.745,0.8009999999999999,0.66,0.687,114667392.79999906
2020-11-25,0.687,0.758,0.622,0.64,97361779.89999886
2020-11-26,0.639,0.662,0.473,0.589,179441862.99999845
2020-11-27,0.588,0.643,0.541,0.6409999999999999,121444637.49999918
2020-11-28,0.64,0.6509999999999999,0.5870000000000001,0.608,52688969.19999949
2020-11-29,0.608,0.688,0.5920000000000001,0.6559999999999999,71950099.19999966
2020-11-30,0.6559999999999999,0.723,0.6559999999999999,0.677,66505339.899999306
2020-12-01,0.677,0.7609999999999999,0.628,0.68,103189324.69999927
2020-12-02,0.679,0.818,0.659,0.802,96602623.99999897
2020-12-03,0.8009999999999999,0.8590000000000001,0.767,0.83,76163697.49999934
2020-12-04,0.83,0.838,0.664,0.6829999999999999,82581506.7999994
2020-12-05,0.682,0.741,0.6629999999999999,0.7390000000000001,53798530.29999963
2020-12-06,0.7390000000000001,0.746,0.6709999999999999,0.7020000000000001,43571818.499999724
2020-12-07,0.7020000000000001,0.745,0.685,0.708,49734912.1999996
2020-12-08,0.708,0.713,0.585,0.609,65740104.899999626
2020-12-09,0.608,0.64,0.5579999999999999,0.632,55573661.09999964
2020-12-10,0.632,0.642,0.581,0.601,39731645.299999736
2020-12-11,0.601,0.604,0.535,0.557,51582169.69999982
2020-12-12,0.557,0.599,0.557,0.5920000000000001,33265538.899999738
2020-12-13,0.593,0.637,0.5770000000000001,0.618,41432123.59999984
2020-12-14,0.618,0.642,0.594,0.638,31480815.099999864
2020-12-15,0.638,0.674,0.624,0.628,47154711.20000002
2020-12-16,0.628,0.655,0.595,0.652,49656767.999999925
2020-12-17,0.652,0.6890000000000001,0.616,0.6559999999999999,69097997.69999982
2020-12-18,0.6559999999999999,0.659,0.622,0.6459999999999999,37926382.59999988
2020-12-19,0.6459999999999999,0.7,0.64,0.665,43878034.39999984
2020-12-20,0.665,0.667,0.606,0.618,38771593.199999884
2020-12-21,0.617,0.63,0.5379999999999999,0.5589999999999999,50749458.69999988
2020-12-22,0.5579999999999999,0.5710000000000001,0.508,0.5579999999999999,45869440.69999978
2020-12-23,0.5579999999999999,0.569,0.37,0.418,85440188.79999985
2020-12-24,0.419,0.48,0.40299999999999997,0.47700000000000004,69309413.19999969
2020-12-25,0.478,0.534,0.46299999999999997,0.488,57399823.5999999
2020-12-26,0.488,0.493,0.44799999999999995,0.47,35647580.89999985
2020-12-27,0.47,0.515,0.43799999999999994,0.47200000000000003,59016393.09999974
2020-12-28,0.47200000000000003,0.524,0.466,0.499,37207480.499999814
2020-12-29,0.498,0.514,0.44299999999999995,0.473,53025288.099999815
2020-12-30,0.474,0.591,0.466,0.58,133020201.59999982
2020-12-31,0.58,0.634,0.52,0.625,95673778.69999962
2021-01-01,0.625,0.675,0.602,0.62,93612608.89999968
2021-01-02,0.621,0.624,0.564,0.612,79859958.09999974
2021-01-03,0.613,0.696,0.585,0.6809999999999999,89617295.19999978
2021-01-04,0.6809999999999999,0.736,0.578,0.6759999999999999,121845458.90000024
2021-01-05,0.677,0.728,0.622,0.6890000000000001,97268110.09999979
2021-01-06,0.69,0.7879999999999999,0.6679999999999999,0.7340000000000001,87248469.20000003
2021-01-07,0.735,0.7929999999999999,0.6829999999999999,0.7190000000000001,76013096.60000014
2021-01-08,0.7190000000000001,0.7390000000000001,0.619,0.6940000000000001,80980641.90000002
2021-01-09,0.693,0.807,0.6679999999999999,0.769,65133387.200000346
2021-01-10,0.768,0.8490000000000001,0.6990000000000001,0.755,88613323.00000007
2021-01-11,0.754,0.758,0.527,0.62,110936714.70000012
2021-01-12,0.62,0.67,0.589,0.622,63082127.90000008
2021-01-13,0.623,0.693,0.601,0.687,43832955.10000019
2021-01-14,0.687,0.7979999999999999,0.6609999999999999,0.797,43463735.10000019
2021-01-15,0.797,1.199,0.7829999999999999,1.148,284364941.9000007
2021-01-16,1.148,1.268,1.048,1.1079999999999999,116039673.30000041
2021-01-17,1.1079999999999999,1.784,1.053,1.6909999999999998,176095852.10000077
2021-01-18,1.69,1.781,1.3880000000000001,1.607,85848187.00000075
2021-01-19,1.607,1.665,1.3119999999999998,1.3319999999999999,65720095.10000093
2021-01-20,1.3319999999999999,1.6469999999999998,1.256,1.6269999999999998,104487041.70000067
2021-01-21,1.626,1.9280000000000002,1.45,1.6769999999999998,146388305.60000008
2021-01-22,1.676,2.096,1.42,1.9580000000000002,126048031.00000015
2021-01-23,1.9580000000000002,2.3,1.911,2.133,80891525.40000035
2021-01-24,2.133,2.3609999999999998,2.0340000000000003,2.259,67261832.10000028
2021-01-25,2.261,2.312,1.97,2.006,46471423.10000038
2021-01-26,2.005,2.242,1.825,2.142,67027811.70000023
2021-01-27,2.1430000000000002,2.144,1.732,1.8130000000000002,54804037.300000355
2021-01-28,1.814,2.206,1.75,2.085,49837448.30000028
2021-01-29,2.085,2.134,1.8559999999999999,2.0469999999999997,39194515.90000028
2021-01-30,2.048,2.6660000000000004,1.886,2.5540000000000003,63488058.70000029
2021-01-31,2.553,2.8480000000000003,2.265,2.517,64155632.899999976
2021-02-01,2.5180000000000002,2.682,2.31,2.548,42174848.3
2021-02-02,2.5469999999999997,2.767,2.434,2.502,32443595.199999917
2021-02-03,2.503,2.715,2.4,2.6460000000000004,35876208.50000009
